Crop,State,Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_t_per_ha,Total_Fertilizer_kg,Total_Pesticide_kg,Total_Yield_t,Temperature_C
mothbeans,Maharashtra,0.457,31.51,0.169,1.244,14.4,0.077,0.569,20.49
kidneybeans,Ladakh,0.397,45.81,0.343,0.978,18.19,0.136,0.388,28.06
coffee,Nagaland,0.795,147.73,0.563,1.065,117.45,0.448,0.847,19.33
blackgram,Andaman and Nicobar Islands,1.612,50.37,0.232,0.821,81.2,0.374,1.323,30.98
lentil,Andaman and Nicobar Islands,1.297,31.77,0.134,0.926,41.21,0.174,1.201,11.7
coconut,Ladakh,6.077,324.2,0.862,7.59,1970.16,5.238,46.124,29.63
rice,Tamil Nadu,1.437,130.69,0.346,4.141,187.8,0.497,5.951,29.0
orange,Ladakh,4.821,159.62,1.019,30.561,769.53,4.913,147.335,22.35
muskmelon,Ladakh,0.665,170.7,0.606,17.702,113.52,0.403,11.772,25.05
watermelon,Chhattisgarh,2.032,188.03,0.493,32.203,382.08,1.002,65.436,26.59
kidneybeans,West Bengal,5.895,30.5,0.404,0.9,179.8,2.382,5.305,18.21
watermelon,Ladakh,1.581,139.8,0.54,24.87,221.02,0.854,39.319,31.5
banana,Uttar Pradesh,0.782,251.55,0.935,30.54,196.71,0.731,23.882,27.84
pigeonpeas,Kerala,3.303,40.41,0.437,1.616,133.47,1.443,5.338,23.59
mothbeans,Himachal Pradesh,0.321,26.18,0.322,1.145,8.4,0.103,0.368,28.07
banana,Delhi,0.831,439.68,0.704,39.651,365.37,0.585,32.95,22.37
jute,Rajasthan,2.515,153.66,0.722,3.233,386.45,1.816,8.131,28.48
cotton,Meghalaya,0.527,123.9,2.035,2.015,65.3,1.072,1.062,29.58
pomegranate,Meghalaya,0.961,137.82,0.966,13.408,132.45,0.928,12.885,18.49
pigeonpeas,Andaman and Nicobar Islands,0.934,40.23,0.178,1.658,37.57,0.166,1.549,29.49
chickpea,Haryana,1.513,39.32,0.252,1.057,59.49,0.381,1.599,18.45
maize,Puducherry,4.773,93.66,0.267,2.832,447.04,1.274,13.517,19.94
coconut,Uttar Pradesh,2.358,690.76,1.143,7.514,1628.81,2.695,17.718,27.07
pomegranate,Maharashtra,1.324,183.18,1.105,9.907,242.53,1.463,13.117,27.18
rice,Odisha,2.887,117.03,0.319,3.466,337.87,0.921,10.006,30.73
pigeonpeas,Tripura,1.104,44.95,0.314,0.829,49.62,0.347,0.915,31.29
grapes,Goa,2.97,170.86,0.876,12.862,507.45,2.602,38.2,24.41
blackgram,Delhi,0.771,43.24,0.204,0.537,33.34,0.157,0.414,26.65
coconut,Goa,0.675,347.62,0.94,8.269,234.64,0.634,5.582,30.63
chickpea,Himachal Pradesh,0.392,20.66,0.213,1.058,8.1,0.083,0.415,10.46
blackgram,Tamil Nadu,1.353,43.59,0.12,1.235,58.98,0.162,1.671,31.8
coconut,Chandigarh,1.347,493.5,0.682,12.106,664.74,0.919,16.307,31.67
maize,Nagaland,3.378,119.16,0.532,3.868,402.52,1.797,13.066,18.27
banana,Madhya Pradesh,4.618,488.36,0.938,51.746,2255.25,4.332,238.963,21.92
mothbeans,Telangana,0.695,25.08,0.111,0.301,17.43,0.077,0.209,21.26
banana,Tamil Nadu,1.4,510.94,0.687,26.714,715.32,0.962,37.4,33.96
kidneybeans,Rajasthan,1.095,57.76,0.4,1.339,63.25,0.438,1.466,27.41
pomegranate,Manipur,0.462,277.62,0.839,23.924,128.26,0.388,11.053,17.26
chickpea,Uttar Pradesh,0.424,39.32,0.388,1.397,16.67,0.165,0.592,14.72
coconut,Uttar Pradesh,1.864,687.94,1.144,4.867,1282.32,2.132,9.072,27.16
orange,Punjab,1.317,154.64,0.834,17.132,203.66,1.098,22.563,29.1
pigeonpeas,Arunachal Pradesh,2.443,49.91,0.465,1.613,121.93,1.136,3.941,28.09
banana,Mizoram,0.336,228.11,1.513,25.154,76.64,0.508,8.452,30.98
banana,Telangana,0.581,224.25,1.378,37.399,130.29,0.801,21.729,31.06
apple,Nagaland,0.494,128.27,1.157,20.083,63.37,0.572,9.921,17.36
kidneybeans,Assam,0.49,54.75,0.283,1.17,26.83,0.139,0.573,24.08
muskmelon,Mizoram,1.431,202.44,0.344,23.514,289.69,0.492,33.649,28.31
mungbean,Dadra and Nagar Haveli and Daman and Diu,0.828,27.57,0.377,0.512,22.83,0.312,0.424,27.86
mothbeans,Chhattisgarh,0.528,36.03,0.385,0.966,19.02,0.203,0.51,29.42
coconut,Bihar,0.943,647.74,0.752,8.45,610.82,0.709,7.968,31.81
maize,Goa,0.997,97.67,0.187,3.708,97.38,0.186,3.697,19.23
apple,Dadra and Nagar Haveli and Daman and Diu,0.512,222.58,1.073,13.001,113.96,0.549,6.657,16.09
coconut,Telangana,2.621,640.07,0.912,8.365,1677.62,2.39,21.925,24.87
kidneybeans,Himachal Pradesh,0.562,46.99,0.339,0.878,26.41,0.191,0.493,18.02
mothbeans,Ladakh,3.902,26.34,0.241,1.101,102.78,0.94,4.296,32.89
mungbean,Jharkhand,0.813,25.61,0.232,0.601,20.82,0.189,0.489,26.69
lentil,Meghalaya,1.192,29.38,0.339,1.48,35.02,0.404,1.764,12.36
watermelon,Meghalaya,0.589,190.82,0.957,16.736,112.39,0.564,9.858,30.3
mungbean,Tripura,0.431,41.35,0.263,0.399,17.82,0.113,0.172,29.47
pigeonpeas,Chandigarh,0.643,42.0,0.395,1.363,27.01,0.254,0.876,20.6
pigeonpeas,Ladakh,0.358,53.75,0.205,1.079,19.24,0.073,0.386,21.4
pigeonpeas,Sikkim,0.518,34.56,0.243,0.907,17.9,0.126,0.47,23.57
kidneybeans,Delhi,1.879,49.94,0.36,1.711,93.84,0.676,3.215,28.75
maize,Assam,0.941,98.4,0.359,4.531,92.59,0.338,4.264,28.21
jute,Maharashtra,1.324,130.48,0.653,2.412,172.76,0.865,3.193,29.9
chickpea,Madhya Pradesh,1.688,31.64,0.195,1.29,53.41,0.329,2.178,18.79
apple,Puducherry,2.286,159.35,0.639,8.779,364.27,1.461,20.069,17.91
orange,Gujarat,2.125,229.76,0.648,12.486,488.24,1.377,26.533,20.7
cotton,Arunachal Pradesh,3.426,157.83,1.043,1.611,540.73,3.573,5.519,21.44
rice,Uttarakhand,0.729,118.24,0.419,3.819,86.2,0.305,2.784,29.21
coconut,Punjab,1.926,318.48,1.239,6.519,613.39,2.386,12.556,27.59
grapes,Arunachal Pradesh,1.151,157.09,0.526,9.396,180.81,0.605,10.815,17.13
lentil,Puducherry,0.94,36.08,0.134,0.724,33.92,0.126,0.681,10.61
watermelon,Uttar Pradesh,1.107,90.93,0.328,15.856,100.66,0.363,17.553,31.1
grapes,Goa,2.778,150.8,0.779,16.289,418.92,2.164,45.251,21.65
grapes,Rajasthan,1.643,273.44,0.476,12.993,449.26,0.782,21.347,28.68
blackgram,Mizoram,1.422,20.02,0.165,0.929,28.47,0.235,1.321,30.87
pomegranate,Himachal Pradesh,1.901,281.45,1.179,27.708,535.04,2.241,52.673,20.49
chickpea,Telangana,0.91,45.36,0.348,1.153,41.28,0.317,1.049,14.92
coconut,Karnataka,3.339,497.79,0.699,5.754,1662.12,2.334,19.213,26.35
maize,Manipur,1.609,91.2,0.491,4.619,146.74,0.79,7.432,20.39
lentil,Tamil Nadu,2.191,28.22,0.331,1.612,61.83,0.725,3.532,22.88
grapes,Madhya Pradesh,2.865,289.1,0.785,16.262,828.27,2.249,46.591,28.57
watermelon,Delhi,2.184,83.21,0.765,30.829,181.73,1.671,67.331,23.99
jute,Ladakh,0.441,122.36,0.665,3.696,53.96,0.293,1.63,27.37
coffee,Uttar Pradesh,1.552,109.16,0.435,1.695,169.42,0.675,2.631,22.46
coffee,Sikkim,0.447,129.65,0.705,0.921,57.95,0.315,0.412,21.87
kidneybeans,Tripura,2.271,53.49,0.311,0.966,121.48,0.706,2.194,21.43
jute,Odisha,0.508,88.2,0.772,2.537,44.81,0.392,1.289,24.9
mothbeans,Meghalaya,1.008,34.12,0.33,0.801,34.39,0.333,0.807,24.22
kidneybeans,Uttarakhand,3.01,41.51,0.393,1.056,124.95,1.183,3.179,24.47
banana,Tamil Nadu,0.729,339.08,0.848,28.233,247.19,0.618,20.582,21.95
kidneybeans,Puducherry,0.324,33.06,0.348,0.961,10.71,0.113,0.311,18.06
coconut,Uttar Pradesh,2.917,444.41,1.1,9.346,1296.34,3.209,27.262,28.19
papaya,Arunachal Pradesh,1.76,238.45,0.759,33.194,419.67,1.336,58.421,25.74
papaya,Manipur,0.358,232.76,0.702,40.763,83.33,0.251,14.593,28.65
mungbean,Chhattisgarh,3.416,40.04,0.115,1.347,136.78,0.393,4.601,30.65
mango,Madhya Pradesh,1.227,139.21,0.898,18.067,170.81,1.102,22.168,25.14
pomegranate,Gujarat,2.483,309.98,0.692,20.94,769.68,1.718,51.994,20.51
watermelon,Ladakh,1.089,102.7,0.359,14.487,111.84,0.391,15.776,21.45
kidneybeans,Gujarat,1.2,38.02,0.412,0.871,45.62,0.494,1.045,27.64
maize,Maharashtra,0.427,80.5,0.531,5.066,34.37,0.227,2.163,27.87
apple,Uttar Pradesh,0.542,252.06,0.703,20.247,136.62,0.381,10.974,19.86
blackgram,Maharashtra,1.977,21.69,0.305,0.701,42.88,0.603,1.386,22.24
chickpea,Mizoram,0.481,30.4,0.368,1.65,14.62,0.177,0.794,11.97
grapes,Chandigarh,2.449,268.53,0.767,10.216,657.63,1.878,25.019,29.97
grapes,Rajasthan,2.733,242.36,0.502,18.895,662.37,1.372,51.64,24.97
banana,Assam,0.822,407.08,0.736,29.495,334.62,0.605,24.245,22.98
cotton,Uttar Pradesh,0.889,124.8,1.634,1.533,110.95,1.453,1.363,31.59
rice,Maharashtra,1.496,136.3,0.439,2.932,203.9,0.657,4.386,27.42
pomegranate,Delhi,3.939,261.45,0.864,22.068,1029.85,3.403,86.926,32.2
mungbean,Tripura,3.445,27.57,0.145,1.395,94.98,0.5,4.806,31.12
banana,Telangana,0.458,508.42,1.237,30.57,232.86,0.567,14.001,29.24
jute,Chandigarh,1.294,110.84,0.956,2.243,143.43,1.237,2.902,22.8
mungbean,Punjab,0.615,34.9,0.203,0.853,21.46,0.125,0.525,24.43
maize,Maharashtra,0.829,108.6,0.473,4.301,90.03,0.392,3.566,19.31
chickpea,Dadra and Nagar Haveli and Daman and Diu,2.287,46.56,0.169,1.362,106.48,0.387,3.115,19.67
chickpea,Tamil Nadu,2.051,47.46,0.317,1.138,97.34,0.65,2.334,13.7
chickpea,Jharkhand,1.231,33.33,0.261,1.393,41.03,0.321,1.715,16.89
apple,Gujarat,0.616,281.1,0.518,21.716,173.16,0.319,13.377,23.76
rice,Uttarakhand,2.097,127.13,0.733,3.057,266.59,1.537,6.411,29.87
kidneybeans,Assam,0.645,42.43,0.244,2.003,27.37,0.157,1.292,18.92
papaya,Delhi,0.413,281.1,1.05,21.922,116.09,0.434,9.054,22.5
coffee,Jammu and Kashmir,1.319,195.76,0.796,0.954,258.21,1.05,1.258,21.16
blackgram,Nagaland,3.938,31.11,0.105,1.384,122.51,0.413,5.45,26.21
kidneybeans,Arunachal Pradesh,1.439,51.5,0.303,1.357,74.11,0.436,1.953,28.58
mango,Tamil Nadu,0.472,253.22,1.168,17.544,119.52,0.551,8.281,24.13
mango,Uttarakhand,3.402,232.33,1.052,9.546,790.39,3.579,32.475,24.34
coconut,Manipur,1.805,606.47,0.931,8.238,1094.68,1.68,14.87,24.14
papaya,Telangana,5.548,194.01,0.514,28.604,1076.37,2.852,158.695,27.53
apple,Chhattisgarh,2.101,192.44,0.559,22.856,404.32,1.174,48.02,11.44
chickpea,West Bengal,0.743,48.98,0.342,1.243,36.39,0.254,0.924,15.15
pomegranate,Mizoram,0.916,229.05,0.641,13.563,209.81,0.587,12.424,28.17
chickpea,Madhya Pradesh,1.106,40.52,0.384,1.533,44.82,0.425,1.695,21.31
muskmelon,Punjab,0.394,106.85,0.757,12.047,42.1,0.298,4.747,31.11
apple,Chhattisgarh,0.803,160.16,0.824,26.711,128.61,0.662,21.449,15.45
muskmelon,West Bengal,1.131,140.81,0.519,12.92,159.26,0.587,14.613,30.33
muskmelon,Assam,1.495,77.34,0.473,19.751,115.62,0.707,29.528,21.11
mango,Goa,5.71,212.12,0.803,15.066,1211.21,4.585,86.027,32.02
mango,Haryana,4.45,265.71,0.606,10.041,1182.41,2.697,44.682,30.73
cotton,Kerala,0.584,158.84,1.649,1.88,92.76,0.963,1.098,31.29
coconut,Arunachal Pradesh,1.509,386.45,0.964,6.368,583.15,1.455,9.609,27.8
pomegranate,Manipur,1.635,215.18,1.066,20.05,351.82,1.743,32.782,25.96
rice,Himachal Pradesh,1.561,140.79,0.346,3.93,219.77,0.54,6.135,26.74
muskmelon,Chandigarh,1.05,82.9,0.823,11.142,87.05,0.864,11.699,21.61
coffee,Andhra Pradesh,0.363,140.0,0.815,1.483,50.82,0.296,0.538,22.35
papaya,Tripura,0.427,239.42,0.478,25.15,102.23,0.204,10.739,27.97
mothbeans,Jammu and Kashmir,1.049,37.97,0.21,0.63,39.83,0.22,0.661,33.27
maize,Tamil Nadu,0.547,76.52,0.392,4.544,41.86,0.214,2.486,26.34
mango,Himachal Pradesh,0.562,337.24,0.534,10.021,189.53,0.3,5.632,28.43
muskmelon,Dadra and Nagar Haveli and Daman and Diu,1.127,138.38,0.778,15.866,155.95,0.877,17.881,22.88
pigeonpeas,Kerala,0.979,44.9,0.173,1.508,43.96,0.169,1.476,21.58
mungbean,Dadra and Nagar Haveli and Daman and Diu,5.706,49.43,0.378,0.914,282.05,2.157,5.215,23.65
coffee,Haryana,1.448,180.62,0.599,1.143,261.54,0.867,1.655,23.41
grapes,Madhya Pradesh,2.039,169.54,0.51,19.715,345.69,1.04,40.199,25.54
coconut,Jharkhand,0.498,348.98,0.553,9.438,173.79,0.275,4.7,24.46
cotton,Manipur,1.538,155.04,1.528,1.087,238.45,2.35,1.672,26.28
pigeonpeas,Telangana,1.719,40.96,0.182,1.281,70.41,0.313,2.202,27.9
rice,Mizoram,0.786,155.74,0.369,3.231,122.41,0.29,2.54,27.42
apple,Jammu and Kashmir,0.363,264.56,0.668,18.743,96.04,0.242,6.804,20.53
pomegranate,Chandigarh,1.411,265.68,1.401,12.289,374.87,1.977,17.34,18.4
coffee,Nagaland,2.747,206.67,0.84,0.935,567.72,2.307,2.568,21.54
chickpea,Sikkim,1.494,36.28,0.357,0.972,54.2,0.533,1.452,13.24
cotton,Nagaland,0.644,143.66,1.483,1.105,92.52,0.955,0.712,30.53
jute,Mizoram,0.514,163.04,0.422,3.138,83.8,0.217,1.613,24.96
mango,West Bengal,1.336,357.75,0.973,11.892,477.95,1.3,15.888,30.67
banana,Chhattisgarh,2.733,211.3,0.581,47.35,577.48,1.588,129.408,21.8
papaya,Assam,0.316,276.53,0.493,24.327,87.38,0.156,7.687,28.79
apple,Sikkim,0.886,155.43,1.079,21.994,137.71,0.956,19.487,19.69
chickpea,Bihar,9.053,50.94,0.189,0.809,461.16,1.711,7.324,22.34
rice,Assam,0.694,126.84,0.373,2.944,88.03,0.259,2.043,22.86
pigeonpeas,Dadra and Nagar Haveli and Daman and Diu,0.842,57.86,0.494,1.261,48.72,0.416,1.062,25.71
mothbeans,Meghalaya,0.363,38.2,0.097,0.66,13.87,0.035,0.24,26.96
mungbean,Telangana,2.081,38.93,0.276,1.095,81.01,0.574,2.279,26.61
jute,Punjab,0.625,156.89,0.948,2.843,98.06,0.592,1.777,23.87
pomegranate,Karnataka,0.45,194.9,0.806,17.101,87.7,0.363,7.695,21.39
grapes,Chandigarh,2.06,270.7,0.838,12.91,557.64,1.726,26.595,29.34
mothbeans,Dadra and Nagar Haveli and Daman and Diu,2.065,43.2,0.144,0.971,89.21,0.297,2.005,23.1
jute,Jharkhand,2.87,111.06,0.381,3.529,318.74,1.093,10.128,27.68
maize,Punjab,8.22,75.36,0.602,2.617,619.46,4.948,21.512,20.69
coconut,Karnataka,0.591,530.91,1.119,7.72,313.77,0.661,4.563,29.17
maize,Meghalaya,1.36,69.7,0.245,2.953,94.79,0.333,4.016,22.16
chickpea,West Bengal,3.313,31.61,0.325,0.861,104.72,1.077,2.852,12.79
banana,Sikkim,2.24,262.79,1.162,22.91,588.65,2.603,51.318,25.7
rice,Ladakh,1.755,113.81,0.571,3.546,199.74,1.002,6.223,27.02
coconut,Uttar Pradesh,1.714,383.59,0.794,8.367,657.47,1.361,14.341,31.13
jute,Sikkim,1.49,145.04,0.535,3.27,216.11,0.797,4.872,22.65
mango,Puducherry,3.334,146.83,1.044,15.542,489.53,3.481,51.817,28.02
muskmelon,Arunachal Pradesh,1.007,204.44,0.822,21.877,205.87,0.828,22.03,31.87
apple,Telangana,3.374,141.5,0.989,9.723,477.42,3.337,32.805,24.89
banana,Telangana,1.201,316.11,1.179,34.211,379.65,1.416,41.087,32.34
pigeonpeas,Haryana,0.827,66.85,0.47,1.934,55.28,0.389,1.599,24.17
blackgram,Tripura,0.822,41.79,0.191,1.061,34.35,0.157,0.872,29.57
orange,Nagaland,2.729,249.95,0.819,17.522,682.11,2.235,47.818,18.93
chickpea,Jammu and Kashmir,0.439,27.14,0.367,1.783,11.91,0.161,0.783,16.32
watermelon,West Bengal,0.818,180.89,0.436,10.08,147.97,0.357,8.245,24.92
banana,Jharkhand,2.548,434.44,0.887,43.844,1106.95,2.26,111.715,22.98
apple,Haryana,3.887,189.98,1.054,24.021,738.45,4.097,93.37,12.74
chickpea,Chhattisgarh,3.499,26.6,0.382,1.165,93.07,1.337,4.076,22.23
coffee,Uttarakhand,1.736,192.82,0.925,0.932,334.74,1.606,1.618,20.33
pigeonpeas,Manipur,1.723,64.88,0.172,1.388,111.79,0.296,2.392,30.0
orange,Haryana,8.106,122.92,0.976,20.296,996.39,7.911,164.519,23.66
apple,Arunachal Pradesh,0.349,287.66,0.915,22.207,100.39,0.319,7.75,18.06
coconut,Haryana,0.892,517.02,1.098,11.397,461.18,0.979,10.166,26.88
papaya,Delhi,0.32,300.94,0.907,24.868,96.3,0.29,7.958,30.98
watermelon,Goa,1.902,134.7,0.923,18.564,256.2,1.756,35.309,24.22
mothbeans,Arunachal Pradesh,0.414,37.28,0.221,0.945,15.43,0.091,0.391,32.3
papaya,Chandigarh,0.676,228.07,0.659,30.32,154.18,0.445,20.496,27.84
chickpea,Dadra and Nagar Haveli and Daman and Diu,1.305,23.75,0.266,1.578,30.99,0.347,2.059,11.59
pomegranate,Andaman and Nicobar Islands,0.593,199.51,1.347,18.812,118.31,0.799,11.156,16.2
chickpea,Ladakh,1.053,44.34,0.366,0.883,46.69,0.385,0.93,17.02
papaya,Tamil Nadu,2.356,257.81,0.607,36.11,607.4,1.43,85.075,25.07
lentil,Madhya Pradesh,1.633,21.92,0.158,1.205,35.8,0.258,1.968,14.88
apple,Andhra Pradesh,3.867,146.1,0.732,19.792,564.97,2.831,76.536,21.79
pomegranate,Bihar,0.746,272.99,1.327,18.969,203.65,0.99,14.151,23.98
chickpea,Bihar,1.328,26.29,0.417,1.679,34.91,0.554,2.23,13.04
mango,West Bengal,1.374,360.95,0.555,11.777,495.95,0.763,16.182,30.76
chickpea,Jammu and Kashmir,1.667,20.43,0.355,1.18,34.06,0.592,1.967,24.52
